Year,ID Geography,Geography,Wage GINI,Wage GINI Moe
"2017","31000US49780","Zanesville, OH",0.4703,0.0507
"2017","31000US41660","San Angelo, TX",0.4649,0.0265
"2017","31000US41620","Salt Lake City, UT",0.4261,0.0094
"2017","31000US10140","Aberdeen, WA",0.3998,0.0275
"2017","31000US41540","Salisbury, MD-DE",0.4694,0.0217
"2017","31000US41500","Salinas, CA",0.4368,0.0193
"2017","31000US41700","San Antonio-New Braunfels, TX",0.4639,0.0069
"2017","31000US10180","Abilene, TX",0.4566,0.0232
"2017","31000US41420","Salem, OR",0.4435,0.0154
"2017","31000US41400","Salem, OH",0.5038,0.0461
"2017","31000US41180","St. Louis, MO-IL",0.4634,0.006
"2017","31000US10300","Adrian, MI",0.3791,0.0217
"2017","31000US41140","St. Joseph, MO-KS",0.4401,0.0302
"2017","31000US41740","San Diego-Carlsbad, CA",0.4624,0.0067
"2017","31000US10380","Aguadilla-Isabela, PR",0.526,0.0322
"2017","31000US49740","Yuma, AZ",0.4441,0.0237
"2017","31000US41100","St. George, UT",0.4695,0.0645
"2017","31000US41060","St. Cloud, MN",0.4333,0.0224
"2017","31000US10420","Akron, OH",0.468,0.0117
"2017","31000US40980","Saginaw, MI",0.4713,0.0303
"2017","31000US40900","Sacramento--Roseville--Arden-Arcade, CA",0.4602,0.0068
"2017","31000US41780","Sandusky, OH",0.4648,0.0393
"2017","31000US10460","Alamogordo, NM",0.4393,0.0669
"2017","31000US40780","Russellville, AR",0.4582,0.0345
"2017","31000US40740","Roswell, NM",0.4685,0.0447
"2017","31000US40700","Roseburg, OR",0.437,0.0272
"2017","31000US10500","Albany, GA",0.4624,0.0233
"2017","31000US40660","Rome, GA",0.4618,0.0465
"2017","31000US41860","San Francisco-Oakland-Hayward, CA",0.4818,0.0041
"2017","31000US10540","Albany, OR",0.4157,0.0242
"2017","31000US49700","Yuba City, CA",0.4086,0.022
"2017","31000US40580","Rocky Mount, NC",0.4757,0.0261
"2017","31000US40420","Rockford, IL",0.4441,0.0194
"2017","31000US10580","Albany-Schenectady-Troy, NY",0.4495,0.0094
"2017","31000US40380","Rochester, NY",0.4611,0.0091
"2017","31000US40340","Rochester, MN",0.424,0.0157
"2017","31000US41900","San Germán, PR",0.5142,0.0249
"2017","31000US10700","Albertville, AL",0.4879,0.0362
"2017","31000US40260","Roanoke Rapids, NC",0.4596,0.0246
"2017","31000US40220","Roanoke, VA",0.4696,0.0188
"2017","31000US40140","Riverside-San Bernardino-Ontario, CA",0.4485,0.0051
"2017","31000US10740","Albuquerque, NM",0.4626,0.0096
"2017","31000US40080","Richmond-Berea, KY",0.4614,0.0393
"2017","31000US41940","San Jose-Sunnyvale-Santa Clara, CA",0.4588,0.0063
"2017","31000US10780","Alexandria, LA",0.4791,0.0226
"2017","31000US49660","Youngstown-Warren-Boardman, OH-PA",0.4568,0.0116
"2017","31000US40060","Richmond, VA",0.453,0.0093
"2017","31000US39980","Richmond, IN",0.4909,0.0499
"2017","31000US10900","Allentown-Bethlehem-Easton, PA-NJ",0.4511,0.0102
"2017","31000US39900","Reno, NV",0.455,0.0152
"2017","31000US39820","Redding, CA",0.4766,0.0207
"2017","31000US41980","San Juan-Carolina-Caguas, PR",0.5511,0.0117
"2017","31000US11020","Altoona, PA",0.4503,0.0239
"2017","31000US39740","Reading, PA",0.4404,0.0144
"2017","31000US39660","Rapid City, SD",0.428,0.027000000000000003
"2017","31000US39580","Raleigh, NC",0.4309,0.0085
"2017","31000US11100","Amarillo, TX",0.4589,0.0211
"2017","31000US39540","Racine, WI",0.4425,0.0171
"2017","31000US42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA",0.4457,0.0186
"2017","31000US11180","Ames, IA",0.4701,0.0318
"2017","31000US49620","York-Hanover, PA",0.4141,0.0182
"2017","31000US39500","Quincy, IL-MO",0.4709,0.0324
"2017","31000US39460","Punta Gorda, FL",0.428,0.0208
"2017","31000US11260","Anchorage, AK",0.4219,0.0151
"2017","31000US39380","Pueblo, CO",0.4574,0.0221
"2017","31000US39340","Provo-Orem, UT",0.4082,0.0106
"2017","31000US42100","Santa Cruz-Watsonville, CA",0.4783,0.0158
"2017","31000US11460","Ann Arbor, MI",0.4763,0.0128
"2017","31000US39300","Providence-Warwick, RI-MA",0.4699,0.0076
"2017","31000US39140","Prescott, AZ",0.4406,0.0234
"2017","31000US39060","Pottsville, PA",0.4195,0.0201
"2017","31000US11500","Anniston-Oxford-Jacksonville, AL",0.4892,0.046
"2017","31000US39020","Portsmouth, OH",0.5173,0.0425
"2017","31000US42140","Santa Fe, NM",0.483,0.028200000000000003
"2017","31000US11540","Appleton, WI",0.4206,0.0202
"2017","31000US49420","Yakima, WA",0.4269,0.0207
"2017","31000US38940","Port St. Lucie, FL",0.4922,0.0268
"2017","31000US38900","Portland-Vancouver-Hillsboro, OR-WA",0.4425,0.0058
"2017","31000US11640","Arecibo, PR",0.5417,0.0314
"2017","31000US38860","Portland-South Portland, ME",0.4402,0.0148
"2017","31000US38820","Port Angeles, WA",0.4641,0.0241
"2017","31000US42200","Santa Maria-Santa Barbara, CA",0.4757,0.014700000000000001
